subject,task,acq,run,tc,roi,betas,n_repeats
sub-01,1back,obj,01,1200130101,10pp,"[0.20870743691921234, -0.3834197521209717, -0.5883975625038147, -0.8008453249931335, -1.0272023677825928]",4
sub-01,1back,obj,01,3110312031,10pp,"[-0.5826652646064758, -0.8735635876655579, -0.9258483052253723, -0.9380882978439331, -0.9593862295150757]",4
sub-01,1back,obj,01,1110112011,10pp,"[0.197623148560524, 0.1073635071516037, 0.07576794177293777, 0.00384797272272408, -0.2247592806816101]",4
sub-01,1back,obj,01,1310101110,10pp,"[-0.3937789499759674, -0.2397352159023285, -0.035964641720056534, -0.09864936769008636, -0.08446665108203888]",4
sub-01,1back,obj,01,1000110012,10pp,"[-0.23515649139881134, -0.5763999223709106, -0.6139119863510132, -0.4874703586101532, -0.13191473484039307]",4
sub-01,1back,obj,01,1002110212,10pp,"[0.5478020310401917, -0.22072625160217285, -0.27098599076271057, -0.2997378706932068, -0.561812698841095]",4
sub-01,1back,obj,01,2130303100,10pp,"[0.14434723556041718, -0.2730218768119812, -0.2790713310241699, -0.2620188891887665, -0.28831976652145386]",4
sub-01,1back,obj,01,2010301100,10pp,"[0.5848235487937927, 0.8171139359474182, 0.783603847026825, 0.6653415560722351, 0.8253054022789001]",4
sub-01,1back,obj,01,1000200030,10pp,"[0.5496435761451721, -0.07642847299575806, -0.21512866020202637, -0.2714969217777252, -0.509847104549408]",4
sub-01,1back,obj,01,1302020302,10pp,"[0.12555444240570068, -0.41851407289505005, -0.3210541903972626, -0.25047293305397034, -0.043206654489040375]",4
sub-01,interdms,ctg_ABAB,01,13110103.0,10pp,"[0.28205782175064087, 1.3162662982940674, 0.38307473063468933, 0.08543615788221359]",4
sub-01,interdms,ctg_ABAB,01,3020203.0,10pp,"[1.8907865285873413, 1.4739454984664917, -0.17002207040786743, -0.36398375034332275]",4
sub-01,interdms,ctg_ABAB,01,130110.0,10pp,"[0.8209394812583923, -0.02023087628185749, -0.8071274161338806, -0.7504405975341797]",4
sub-01,interdms,ctg_ABAB,01,001310.0,10pp,"[0.8184919953346252, 0.24233274161815643, -0.459669291973114, -0.3862444758415222]",4
sub-01,interdms,ctg_ABAB,01,121211.0,10pp,"[0.02210216037929058, -0.4116836488246918, -0.6206137537956238, -0.3123200833797455]",4
sub-01,interdms,ctg_ABAB,01,11021200.0,10pp,"[0.07359624654054642, 0.5956792235374451, -0.0054932874627411366, 0.03183714300394058]",4
sub-01,interdms,ctg_ABAB,01,3110211.0,10pp,"[1.3685232400894165, 0.46777692437171936, -0.35240715742111206, -0.2852499485015869]",4
sub-01,interdms,obj_ABBA,01,13110103.0,10pp,"[0.7895262837409973, 1.697458267211914, 0.4553450047969818, 0.09856239706277847]",4
sub-01,interdms,obj_ABBA,01,3020203.0,10pp,"[0.010011749342083931, 0.18626220524311066, -0.14546073973178864, -0.01956183835864067]",4
sub-01,interdms,obj_ABBA,01,130110.0,10pp,"[0.5406843423843384, 1.3574897050857544, -0.07730786502361298, -0.02063429355621338]",4
sub-01,interdms,obj_ABBA,01,001310.0,10pp,"[1.0049790143966675, 1.9260241985321045, 0.5896544456481934, 0.6787229776382446]",4
sub-01,interdms,obj_ABBA,01,121211.0,10pp,"[0.3524218499660492, 1.097220778465271, 0.28321874141693115, 0.11912331730127335]",4
sub-01,interdms,obj_ABBA,01,11021200.0,10pp,"[2.3553833961486816, 1.9275046586990356, 0.6112117767333984, 0.4369707405567169]",4
sub-01,interdms,obj_ABBA,01,3110211.0,10pp,"[0.9792071580886841, 1.269128680229187, -0.24409423768520355, -0.27902236580848694]",4
sub-01,ctxdm,col,01,101303.0,10pp,"[-0.1252993792295456, 0.038677945733070374, -0.03131682053208351]",4
sub-01,ctxdm,col,01,30113.0,10pp,"[0.05729614570736885, -0.05301738902926445, -0.16929271817207336]",4
sub-01,ctxdm,col,01,120211.0,10pp,"[-0.015197508968412876, 0.11126647889614105, 0.07767011970281601]",4
sub-01,ctxdm,col,01,100212.0,10pp,"[0.0668410062789917, -0.9440935850143433, -1.2192517518997192]",4
sub-01,ctxdm,col,01,101213.0,10pp,"[0.23500396311283112, -1.1268231868743896, -1.6621694564819336]",1
sub-01,ctxdm,col,01,1003.0,10pp,"[-0.4991689622402191, -1.5850919485092163, -2.013232469558716]",1
sub-01,ctxdm,col,01,10013.0,10pp,"[0.35683828592300415, -1.0941323041915894, -1.2009999752044678]",4
sub-01,ctxdm,col,01,120002.0,10pp,"[-0.37168261408805847, -0.8040838241577148, -0.974859356880188]",4
sub-01,ctxdm,col,01,0001.0,10pp,"[-0.32361477613449097, -0.33508390188217163, -0.4948660731315613]",4
sub-01,ctxdm,col,01,31213.0,10pp,"[0.06002802029252052, -0.46757322549819946, -0.4117291569709778]",4
sub-01,ctxdm,col,01,11101.0,10pp,"[-1.0253299474716187, -0.5679760575294495, -0.2068510800600052]",1
sub-01,ctxdm,col,01,110201.0,10pp,"[0.5849562287330627, -0.031199239194393158, 0.15093287825584412]",1
sub-01,ctxdm,col,01,30102.0,10pp,"[0.616553008556366, -0.15573152899742126, -0.17448897659778595]",4
sub-01,ctxdm,col,01,30002.0,10pp,"[0.06746342033147812, -1.2398996353149414, -1.283858299255371]",3
sub-01,ctxdm,col,01,110100.0,10pp,"[-0.0759078711271286, -0.05379236862063408, -0.09853123873472214]",3
sub-01,ctxdm,col,01,111013.0,10pp,"[0.21229928731918335, -0.12953387200832367, -0.14262807369232178]",3
sub-01,ctxdm,col,01,31002.0,10pp,"[-0.031045962125062943, -0.07437526434659958, 0.05864759534597397]",3
sub-01,interdms,obj_ABAB,01,13110103.0,10pp,"[0.5277135968208313, 0.9952538013458252, 0.16063633561134338, 0.14670808613300323]",4
