subject,task,acq,run,tc,roi,betas,n_repeats
sub-01,1back,ctg,01,0100020003,10pp,"[0.38035282492637634, 1.5506649017333984, -0.039907168596982956, 1.0703932046890259, 0.7383461594581604, 1.0485011339187622, 1.0172958374023438, 0.9968288540840149, 1.2739684581756592, 0.9339939951896667, 1.260244369506836, 1.0192598104476929]",4
sub-01,1back,ctg,01,0100020003,10v,"[0.012973831035196781, 0.7575138807296753, 0.2706567943096161, 0.22182905673980713, 0.9019458889961243, 0.24557040631771088, 0.557956337928772, 0.38431504368782043, 0.2735702693462372, 0.4591164290904999, 0.3167588710784912, 0.4850494861602783]",4
sub-01,1back,ctg,01,0100020003,46,"[-0.15468472242355347, 0.564134955406189, -0.25952354073524475, 0.24964474141597748, 0.4457875192165375, 0.374720960855484, 0.854796826839447, 0.426972895860672, 1.58632230758667, 0.6382454633712769, 1.5084682703018188, 0.8486674427986145]",4
sub-01,1back,ctg,01,0100020003,47s,"[-0.07049116492271423, 0.6961179375648499, 0.0036115366965532303, 0.32174399495124817, 1.0308382511138916, 0.2962878942489624, 0.8977870345115662, 0.6644923686981201, 0.9956803321838379, 0.6788619756698608, 1.1132076978683472, 1.0026283264160156]",4
sub-01,1back,ctg,01,0100020003,9-46d,"[-2.589531183242798, 0.688721239566803, -2.084059476852417, -0.6236478686332703, -0.856812596321106, -0.6135461926460266, -0.5727616548538208, -0.5764143466949463, 0.2737189829349518, -0.4886374771595001, 0.5257956981658936, -0.3583585023880005]",4
sub-01,1back,ctg,01,1001110112,10pp,"[0.061855196952819824, 0.1381986290216446, -0.33861368894577026, -0.20816190540790558, -0.5870649814605713, -0.2729286551475525, -1.1606132984161377, -0.5085219740867615, -1.5407545566558838, -0.7937893867492676, -1.1579846143722534, -1.3496806621551514]",4
sub-01,1back,ctg,01,1001110112,10v,"[-2.6394588947296143, 0.41163337230682373, -2.1261301040649414, -1.0233995914459229, -1.4592841863632202, -1.086826205253601, -1.5726206302642822, -1.2773464918136597, -0.836283266544342, -1.7888946533203125, -0.38432830572128296, -1.8751589059829712]",4
sub-01,1back,ctg,01,1001110112,46,"[0.6617310047149658, -0.4840119183063507, -0.2549721896648407, -0.21728268265724182, 0.13446860015392303, -0.3884642422199249, -0.38548752665519714, -0.6255577802658081, -0.22343149781227112, -0.8763866424560547, -0.4218084514141083, -1.221272587776184]",4
sub-01,1back,ctg,01,1001110112,47s,"[0.18881657719612122, 0.7624868750572205, -0.2690065801143646, 0.4465794861316681, 0.21916931867599487, 0.7147054672241211, 0.062450870871543884, 0.7334082126617432, 0.18276581168174744, 0.7065000534057617, 0.15044359862804413, 0.6165589094161987]",4
sub-01,1back,ctg,01,1001110112,9-46d,"[-0.30584651231765747, 0.501126766204834, -1.348200798034668, -0.2164028286933899, -0.669360876083374, -0.5775802731513977, -1.30286705493927, -0.929917573928833, -1.140023946762085, -1.2388296127319336, -0.8479411005973816, -1.766392707824707]",4
