subject,task,acq,run,tc,roi,betas,n_repeats
sub-01,1back,ctg,01,0001000200,10pp,"[0.02994130179286003, 0.25637808442115784, -0.023217618465423584, 0.16421647369861603, 0.11884932219982147, 0.1581965535879135, 0.1686854213476181, 0.15286220610141754, 0.20615890622138977, 0.14731544256210327, 0.1997574269771576, 0.16543199121952057]",4
sub-01,1back,ctg,01,0001000200,10v,"[0.014464123174548149, 0.12049610912799835, 0.058834049850702286, 0.04108179733157158, 0.16024267673492432, 0.046214185655117035, 0.09867522865533829, 0.07288357615470886, 0.045621518045663834, 0.08453775197267532, 0.053980752825737, 0.08919145166873932]",4
sub-01,1back,ctg,01,0001000200,46,"[-0.04683200269937515, 0.11651445180177689, -0.060750946402549744, 0.04548642411828041, 0.09108790755271912, 0.07036589086055756, 0.17624305188655853, 0.08511707186698914, 0.3239556849002838, 0.12980185449123383, 0.3134281635284424, 0.1724083125591278]",4
sub-01,1back,ctg,01,0001000200,47s,"[0.0030417428351938725, 0.12697868049144745, 0.01395060308277607, 0.06066082790493965, 0.20689943432807922, 0.057261526584625244, 0.17497755587100983, 0.1288963407278061, 0.18924491107463837, 0.13087904453277588, 0.21202059090137482, 0.19130653142929077]",4
sub-01,1back,ctg,01,0001000200,9-46d,"[-0.5157967209815979, 0.14583992958068848, -0.4193103313446045, -0.12091924250125885, -0.1742941290140152, -0.11927587538957596, -0.11703052371740341, -0.11504317820072174, 0.05773945897817612, -0.09789494425058365, 0.10961055755615234, -0.07575315237045288]",4
sub-01,1back,ctg,01,0012001301,10pp,"[0.14289239048957825, 0.1906570941209793, 0.11291937530040741, 0.1325436681509018, 0.16227050125598907, 0.15919725596904755, 0.19520403444766998, 0.1324971616268158, 0.24800866842269897, 0.16504321992397308, 0.13872386515140533, 0.22062504291534424]",4
sub-01,1back,ctg,01,0012001301,10v,"[0.06166538968682289, 0.05800163373351097, 0.12222936004400253, 0.0288759283721447, 0.2621138095855713, 0.03089076839387417, 0.22550372779369354, 0.03830689936876297, 0.21811534464359283, 0.06400717794895172, 0.1262637972831726, 0.09162065386772156]",4
sub-01,1back,ctg,01,0012001301,46,"[-0.13369323313236237, 0.11641848832368851, -0.045756060630083084, -0.08286600559949875, 0.15398789942264557, -0.09964904189109802, 0.07569827139377594, -0.12033137679100037, 0.16083911061286926, -0.0896821841597557, 0.03268594667315483, -0.046763189136981964]",4
sub-01,1back,ctg,01,0012001301,47s,"[0.20844429731369019, 0.009323501028120518, 0.28184375166893005, 0.02691321261227131, 0.27095547318458557, 0.0923122838139534, 0.08119319379329681, 0.12791630625724792, 0.06912960112094879, 0.13544383645057678, 0.029253492131829262, 0.12628895044326782]",4
sub-01,1back,ctg,01,0012001301,9-46d,"[-0.1528589278459549, 0.3036225140094757, -0.11544456332921982, 0.032301414757966995, 0.16455262899398804, 0.013208113610744476, 0.05883173272013664, -0.0037722093984484673, 0.0994131863117218, 0.014071225188672543, 0.005117569584399462, 0.017318308353424072]",4
sub-01,1back,ctg,01,0102010301,10pp,"[-0.6027135848999023, 0.1344529539346695, -0.41617172956466675, -0.11102794110774994, -0.17411541938781738, -0.08933186531066895, -0.15527382493019104, -0.059591662138700485, -0.04903325438499451, -0.00413158442825079, -0.030419491231441498, 0.02456820197403431]",4
sub-01,1back,ctg,01,0102010301,10v,"[-0.1797420233488083, 0.1708044558763504, -0.027653178200125694, 0.017956513911485672, 0.07845145463943481, 0.03330148756504059, 0.13137748837471008, 0.04929530248045921, 0.1304417848587036, 0.07688283920288086, 0.13312427699565887, 0.09110816568136215]",4
sub-01,1back,ctg,01,0102010301,46,"[-0.3233623206615448, 0.17126311361789703, -0.08409712463617325, -0.049531035125255585, 0.14159566164016724, -0.0382634699344635, 0.17634685337543488, -0.007021972443908453, 0.13561150431632996, 0.0838380753993988, 0.09053348749876022, 0.0952756330370903]",4
sub-01,1back,ctg,01,0102010301,47s,"[-0.038046613335609436, 0.04750652611255646, 0.13820478320121765, -0.005221556406468153, 0.05394744873046875, 0.0643351599574089, -0.02197619341313839, 0.01613682694733143, 0.08878552168607712, 0.04442617669701576, 0.05963602289557457, 0.03712530434131622]",4
sub-01,1back,ctg,01,0102010301,9-46d,"[-0.31871578097343445, 0.18215379118919373, -0.22054632008075714, -0.06437630951404572, -0.03935517370700836, -0.11920664459466934, -0.0016867481172084808, -0.12000904977321625, 0.00569918192923069, -0.0920281782746315, 0.00880711805075407, -0.12589131295681]",4
sub-01,1back,ctg,01,0113020203,10pp,"[0.083928681910038, 0.21564461290836334, 0.031083283945918083, 0.07943221926689148, 0.1440308392047882, 0.03879202902317047, 0.12461750209331512, -0.01578865759074688, 0.13560806214809418, -0.064349465072155, 0.16840443015098572, -0.09350016713142395]",4
sub-01,1back,ctg,01,0113020203,10v,"[0.05308772251009941, 0.30481019616127014, 0.06448304653167725, 0.17556390166282654, 0.2036001831293106, 0.13804595172405243, 0.2930173873901367, 0.10968030244112015, 0.2568289637565613, 0.15058377385139465, 0.21876102685928345, 0.14498911798000336]",4
