vertex,r2
0.000000000000000000e+00,5.193030834197998047e-01
1.000000000000000000e+00,7.012049555778503418e-01
2.000000000000000000e+00,6.337953805923461914e-01
3.000000000000000000e+00,4.802170395851135254e-01
4.000000000000000000e+00,7.410486936569213867e-01
5.000000000000000000e+00,5.874080657958984375e-01
6.000000000000000000e+00,7.268691062927246094e-01
8.000000000000000000e+00,4.100545048713684082e-01
9.000000000000000000e+00,5.529001951217651367e-01
1.000000000000000000e+01,4.029469490051269531e-01
1.100000000000000000e+01,4.811813235282897949e-01
1.200000000000000000e+01,5.382797718048095703e-01
1.300000000000000000e+01,4.993492364883422852e-01
1.400000000000000000e+01,4.897541999816894531e-01
1.500000000000000000e+01,4.486263394355773926e-01
1.600000000000000000e+01,5.011041760444641113e-01
1.700000000000000000e+01,4.825695157051086426e-01
1.800000000000000000e+01,3.977261185646057129e-01
1.900000000000000000e+01,4.055269956588745117e-01
2.000000000000000000e+01,4.117387533187866211e-01
6.800000000000000000e+01,5.370665192604064941e-01
6.900000000000000000e+01,4.315160512924194336e-01
7.000000000000000000e+01,5.232053995132446289e-01
7.100000000000000000e+01,6.368590593338012695e-01
7.200000000000000000e+01,5.132712125778198242e-01
7.300000000000000000e+01,5.470756292343139648e-01
7.400000000000000000e+01,6.329919695854187012e-01
7.500000000000000000e+01,6.086245775222778320e-01
7.600000000000000000e+01,5.452012419700622559e-01
7.700000000000000000e+01,4.830311536788940430e-01
7.800000000000000000e+01,4.852125644683837891e-01
7.900000000000000000e+01,5.560759902000427246e-01
8.000000000000000000e+01,5.719345211982727051e-01
8.100000000000000000e+01,5.944373607635498047e-01
8.200000000000000000e+01,5.516662597656250000e-01
8.300000000000000000e+01,5.291562676429748535e-01
8.400000000000000000e+01,5.616949200630187988e-01
8.500000000000000000e+01,4.890079498291015625e-01
8.600000000000000000e+01,4.493600130081176758e-01
8.700000000000000000e+01,5.181224346160888672e-01
8.800000000000000000e+01,4.896180033683776855e-01
8.900000000000000000e+01,4.587417244911193848e-01
9.000000000000000000e+01,4.438521862030029297e-01
9.100000000000000000e+01,4.427140951156616211e-01
9.200000000000000000e+01,4.389256238937377930e-01
9.300000000000000000e+01,4.861268401145935059e-01
9.400000000000000000e+01,4.420306682586669922e-01
9.500000000000000000e+01,4.492474794387817383e-01
9.600000000000000000e+01,4.536443352699279785e-01
9.700000000000000000e+01,4.815204143524169922e-01
9.800000000000000000e+01,5.336884260177612305e-01
9.900000000000000000e+01,6.241723895072937012e-01
1.000000000000000000e+02,6.572993993759155273e-01
1.010000000000000000e+02,6.330661773681640625e-01
1.020000000000000000e+02,6.334848999977111816e-01
1.030000000000000000e+02,6.666967868804931641e-01
1.040000000000000000e+02,6.560212373733520508e-01
1.050000000000000000e+02,6.107720136642456055e-01
1.060000000000000000e+02,5.611904859542846680e-01
1.070000000000000000e+02,5.066361427307128906e-01
1.080000000000000000e+02,5.764793157577514648e-01
1.090000000000000000e+02,5.654380321502685547e-01
1.100000000000000000e+02,5.347484350204467773e-01
1.110000000000000000e+02,5.161157846450805664e-01
1.120000000000000000e+02,5.687170624732971191e-01
1.130000000000000000e+02,5.064249038696289062e-01
1.140000000000000000e+02,4.290979504585266113e-01
1.150000000000000000e+02,4.392601847648620605e-01
1.160000000000000000e+02,4.302530288696289062e-01
1.170000000000000000e+02,5.850931406021118164e-01
1.180000000000000000e+02,5.954411029815673828e-01
1.190000000000000000e+02,4.766461253166198730e-01
1.200000000000000000e+02,4.153982400894165039e-01
1.210000000000000000e+02,4.806585311889648438e-01
1.220000000000000000e+02,4.698207974433898926e-01
1.230000000000000000e+02,4.019102454185485840e-01
1.650000000000000000e+02,4.979761242866516113e-01
1.660000000000000000e+02,5.229461193084716797e-01
1.670000000000000000e+02,5.232969522476196289e-01
1.680000000000000000e+02,4.132091999053955078e-01
1.690000000000000000e+02,5.174469947814941406e-01
1.700000000000000000e+02,5.218120813369750977e-01
1.710000000000000000e+02,5.125315189361572266e-01
1.720000000000000000e+02,4.956738948822021484e-01
1.730000000000000000e+02,4.459819197654724121e-01
1.740000000000000000e+02,3.720457553863525391e-01
1.750000000000000000e+02,5.296820402145385742e-01
1.760000000000000000e+02,4.507570266723632812e-01
1.770000000000000000e+02,4.355525970458984375e-01
1.780000000000000000e+02,5.324716567993164062e-01
1.790000000000000000e+02,3.986790776252746582e-01
1.800000000000000000e+02,6.040583848953247070e-01
1.810000000000000000e+02,4.171727895736694336e-01
1.820000000000000000e+02,4.198770523071289062e-01
1.830000000000000000e+02,4.565130472183227539e-01
1.840000000000000000e+02,5.661228895187377930e-01
1.850000000000000000e+02,4.751302003860473633e-01
1.860000000000000000e+02,4.562205076217651367e-01
1.870000000000000000e+02,4.828116893768310547e-01
2.350000000000000000e+02,4.758992791175842285e-01
2.360000000000000000e+02,4.354151487350463867e-01
2.370000000000000000e+02,3.954313993453979492e-01
2.380000000000000000e+02,5.253087282180786133e-01
2.390000000000000000e+02,5.170180797576904297e-01
2.400000000000000000e+02,4.176239967346191406e-01
2.410000000000000000e+02,4.826843738555908203e-01
2.890000000000000000e+02,4.993379116058349609e-01
2.900000000000000000e+02,4.261559844017028809e-01
2.910000000000000000e+02,4.901685714721679688e-01
2.920000000000000000e+02,6.346625685691833496e-01
2.930000000000000000e+02,5.213506221771240234e-01
2.940000000000000000e+02,3.966190218925476074e-01
2.950000000000000000e+02,4.344226121902465820e-01
3.420000000000000000e+02,5.248952507972717285e-01
3.430000000000000000e+02,4.516649842262268066e-01
3.440000000000000000e+02,4.332678914070129395e-01
3.450000000000000000e+02,5.599313974380493164e-01
3.460000000000000000e+02,4.776054024696350098e-01
3.470000000000000000e+02,3.840177655220031738e-01
3.480000000000000000e+02,3.798264265060424805e-01
3.940000000000000000e+02,5.049573183059692383e-01
3.950000000000000000e+02,4.935333132743835449e-01
3.960000000000000000e+02,4.579696059226989746e-01
3.970000000000000000e+02,4.249252676963806152e-01
3.980000000000000000e+02,4.117980003356933594e-01
3.990000000000000000e+02,3.963047266006469727e-01
4.450000000000000000e+02,4.454506039619445801e-01
4.460000000000000000e+02,4.991040229797363281e-01
4.470000000000000000e+02,4.869474768638610840e-01
4.480000000000000000e+02,3.714476227760314941e-01
4.490000000000000000e+02,4.661230444908142090e-01
4.950000000000000000e+02,5.269088745117187500e-01
4.960000000000000000e+02,5.339962244033813477e-01
4.970000000000000000e+02,4.542657732963562012e-01
4.980000000000000000e+02,4.630687236785888672e-01
4.990000000000000000e+02,5.288926959037780762e-01
5.440000000000000000e+02,5.877437591552734375e-01
5.450000000000000000e+02,4.113835096359252930e-01
5.460000000000000000e+02,4.603789448738098145e-01
5.470000000000000000e+02,4.256042242050170898e-01
5.480000000000000000e+02,4.486404657363891602e-01
5.920000000000000000e+02,5.116009116172790527e-01
5.930000000000000000e+02,4.481020569801330566e-01
5.940000000000000000e+02,4.779489040374755859e-01
5.950000000000000000e+02,4.529431462287902832e-01
6.390000000000000000e+02,4.987396001815795898e-01
6.400000000000000000e+02,5.357232093811035156e-01
6.410000000000000000e+02,4.661830663681030273e-01
6.420000000000000000e+02,4.434547424316406250e-01
6.850000000000000000e+02,5.778957605361938477e-01
6.860000000000000000e+02,7.203187942504882812e-01
6.870000000000000000e+02,5.560286641120910645e-01
6.880000000000000000e+02,4.229245781898498535e-01
7.300000000000000000e+02,5.704709291458129883e-01
7.310000000000000000e+02,6.969566345214843750e-01
7.320000000000000000e+02,6.946488618850708008e-01
7.330000000000000000e+02,3.959660530090332031e-01
7.340000000000000000e+02,3.645586967468261719e-01
7.740000000000000000e+02,5.687155723571777344e-01
7.750000000000000000e+02,6.610153913497924805e-01
7.760000000000000000e+02,5.919390320777893066e-01
7.770000000000000000e+02,4.156591892242431641e-01
8.170000000000000000e+02,5.943231582641601562e-01
8.180000000000000000e+02,5.889389514923095703e-01
8.190000000000000000e+02,5.775421857833862305e-01
8.200000000000000000e+02,3.837361931800842285e-01
