vertex,r2
1.000000000000000000e+01,5.123514533042907715e-01
3.960000000000000000e+02,6.224851608276367188e-01
1.351000000000000000e+03,4.461141824722290039e-01
1.539000000000000000e+03,5.543957948684692383e-01
1.726000000000000000e+03,4.534245729446411133e-01
1.801000000000000000e+03,6.615355610847473145e-01
1.855000000000000000e+03,4.683493375778198242e-01
1.935000000000000000e+03,7.208867073059082031e-01
1.989000000000000000e+03,6.949590444564819336e-01
2.046000000000000000e+03,5.775023102760314941e-01
2.062000000000000000e+03,4.864838123321533203e-01
2.136000000000000000e+03,7.952637076377868652e-01
2.279000000000000000e+03,7.303217649459838867e-01
2.280000000000000000e+03,6.236667633056640625e-01
2.416000000000000000e+03,6.688022613525390625e-01
2.504000000000000000e+03,5.609300136566162109e-01
2.574000000000000000e+03,4.838838577270507812e-01
2.867000000000000000e+03,6.802532672882080078e-01
2.871000000000000000e+03,4.817273616790771484e-01
3.200000000000000000e+03,6.109043359756469727e-01
3.540000000000000000e+03,4.977293610572814941e-01
3.577000000000000000e+03,8.778859972953796387e-01
3.633000000000000000e+03,8.731393814086914062e-01
3.788000000000000000e+03,6.692632436752319336e-01
3.879000000000000000e+03,5.219900608062744141e-01
3.906000000000000000e+03,6.066238880157470703e-01
3.927000000000000000e+03,7.573869824409484863e-01
3.947000000000000000e+03,4.643545150756835938e-01
3.973000000000000000e+03,8.912408351898193359e-01
4.018000000000000000e+03,8.415149450302124023e-01
4.165000000000000000e+03,4.656721949577331543e-01
4.197000000000000000e+03,5.667407512664794922e-01
4.213000000000000000e+03,4.686813354492187500e-01
4.354000000000000000e+03,6.062798500061035156e-01
4.366000000000000000e+03,5.281866788864135742e-01
4.369000000000000000e+03,4.568179249763488770e-01
4.432000000000000000e+03,5.066100358963012695e-01
4.437000000000000000e+03,4.882175326347351074e-01
4.463000000000000000e+03,4.110199213027954102e-01
4.476000000000000000e+03,5.693888664245605469e-01
4.491000000000000000e+03,6.316294670104980469e-01
4.532000000000000000e+03,4.265310764312744141e-01
4.639000000000000000e+03,5.430069565773010254e-01
4.655000000000000000e+03,5.582098960876464844e-01
4.662000000000000000e+03,8.379312753677368164e-01
4.726000000000000000e+03,5.239000320434570312e-01
4.842000000000000000e+03,6.292037963867187500e-01
4.923000000000000000e+03,7.027215957641601562e-01
4.958000000000000000e+03,8.799461126327514648e-01
4.980000000000000000e+03,7.804650664329528809e-01
4.995000000000000000e+03,8.046473264694213867e-01
5.058000000000000000e+03,6.901339888572692871e-01
5.328000000000000000e+03,8.544537425041198730e-01
5.339000000000000000e+03,7.380988001823425293e-01
5.385000000000000000e+03,7.356990575790405273e-01
5.468000000000000000e+03,5.601006746292114258e-01
5.493000000000000000e+03,7.273650169372558594e-01
5.519000000000000000e+03,8.441326618194580078e-01
5.545000000000000000e+03,7.251349687576293945e-01
5.568000000000000000e+03,8.510751724243164062e-01
5.632000000000000000e+03,7.407439947128295898e-01
5.683000000000000000e+03,6.315599679946899414e-01
5.728000000000000000e+03,5.842081308364868164e-01
5.743000000000000000e+03,8.287694454193115234e-01
5.798000000000000000e+03,8.953222632408142090e-01
5.936000000000000000e+03,8.652120232582092285e-01
5.949000000000000000e+03,7.150996923446655273e-01
6.142000000000000000e+03,6.763058900833129883e-01
6.186000000000000000e+03,5.745555162429809570e-01
6.338000000000000000e+03,8.271098136901855469e-01
6.359000000000000000e+03,9.199404716491699219e-01
6.412000000000000000e+03,7.958261966705322266e-01
6.510000000000000000e+03,7.751992344856262207e-01
6.524000000000000000e+03,9.067760705947875977e-01
6.555000000000000000e+03,6.199873685836791992e-01
6.556000000000000000e+03,8.766526579856872559e-01
6.584000000000000000e+03,6.547236442565917969e-01
6.661000000000000000e+03,8.736914992332458496e-01
6.671000000000000000e+03,7.980400919914245605e-01
6.707000000000000000e+03,6.344881057739257812e-01
6.750000000000000000e+03,8.074365854263305664e-01
6.768000000000000000e+03,7.736549377441406250e-01
6.815000000000000000e+03,6.208406686782836914e-01
6.825000000000000000e+03,7.813712358474731445e-01
6.836000000000000000e+03,7.069561481475830078e-01
6.866000000000000000e+03,8.282675743103027344e-01
7.008000000000000000e+03,8.334047198295593262e-01
7.018000000000000000e+03,7.012530565261840820e-01
7.031000000000000000e+03,6.377578377723693848e-01
7.045000000000000000e+03,6.481638550758361816e-01
7.193000000000000000e+03,7.589243650436401367e-01
7.198000000000000000e+03,8.676026463508605957e-01
7.244000000000000000e+03,7.707241773605346680e-01
7.261000000000000000e+03,7.593349814414978027e-01
7.354000000000000000e+03,7.932108640670776367e-01
7.406000000000000000e+03,8.733963370323181152e-01
7.463000000000000000e+03,6.601088047027587891e-01
7.709000000000000000e+03,8.118377327919006348e-01
7.717000000000000000e+03,7.144984006881713867e-01
7.722000000000000000e+03,4.886018633842468262e-01
7.743000000000000000e+03,9.300783276557922363e-01
7.748000000000000000e+03,9.015637636184692383e-01
7.872000000000000000e+03,8.280934095382690430e-01
7.990000000000000000e+03,8.954974412918090820e-01
7.994000000000000000e+03,8.222733139991760254e-01
8.114000000000000000e+03,7.526625394821166992e-01
8.125000000000000000e+03,8.455207943916320801e-01
8.228000000000000000e+03,4.882872104644775391e-01
8.277000000000000000e+03,6.884580850601196289e-01
8.501000000000000000e+03,7.440823316574096680e-01
8.612000000000000000e+03,7.025001645088195801e-01
8.677000000000000000e+03,7.563410997390747070e-01
8.893000000000000000e+03,6.576485633850097656e-01
8.914000000000000000e+03,6.976404190063476562e-01
8.952000000000000000e+03,6.113668680191040039e-01
8.962000000000000000e+03,7.427459955215454102e-01
9.010000000000000000e+03,6.219962835311889648e-01
9.077000000000000000e+03,5.521772503852844238e-01
9.216000000000000000e+03,9.473011493682861328e-01
9.300000000000000000e+03,6.064776182174682617e-01
9.313000000000000000e+03,6.300063133239746094e-01
9.405000000000000000e+03,5.760807991027832031e-01
9.487000000000000000e+03,6.745753884315490723e-01
9.538000000000000000e+03,6.308513283729553223e-01
9.580000000000000000e+03,4.754592776298522949e-01
9.584000000000000000e+03,6.882302761077880859e-01
9.649000000000000000e+03,6.112638115882873535e-01
9.715000000000000000e+03,5.704181194305419922e-01
9.721000000000000000e+03,7.003749608993530273e-01
9.724000000000000000e+03,5.562739372253417969e-01
9.750000000000000000e+03,3.357239961624145508e-01
9.752000000000000000e+03,5.952086448669433594e-01
9.770000000000000000e+03,6.052256822586059570e-01
9.831000000000000000e+03,5.162225961685180664e-01
9.971000000000000000e+03,6.015201807022094727e-01
1.002200000000000000e+04,5.654155015945434570e-01
1.005900000000000000e+04,4.949844479560852051e-01
1.006200000000000000e+04,5.168820619583129883e-01
1.009700000000000000e+04,7.113085985183715820e-01
1.013200000000000000e+04,5.735483765602111816e-01
1.013300000000000000e+04,5.059009790420532227e-01
1.014000000000000000e+04,6.064702868461608887e-01
1.018600000000000000e+04,7.430846691131591797e-01
1.019500000000000000e+04,4.414975643157958984e-01
1.023800000000000000e+04,4.422348737716674805e-01
1.029300000000000000e+04,5.709163546562194824e-01
